Rep_Seq_names,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
SC98C10_IB337,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,1,8,4,2,39,0,33,5,0,16,16,48,10,0,8,9,4,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIA01_EJTFR,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,2,0,0,5,2,0,2,7,1,1,1,0,1,1,4,1,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C01_ELB9M,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,5,2,2,0,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,9,5,5,0,0,2,0,0,1,0,1,1,1,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B1_JGAXM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,4,0,6,2,0,3,9,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B10_FU9MV,5,3,1,2,1,2,16,7,6,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,13,9,4,25,2,10,4,0,19,12,0,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,3,1,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
SC93C10_FSPSE,7,4,2,0,5,1,41,4,6,3,24,35,11,1,44,22,18,18,32,17,3,18,17,16,36,12,5,6,24,22,10,25,11,11,4,10,10,19,57,29,47,12,18,20,11,18,21,8,36,29,11,12,8,1,7,5,18,2,10,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC1_FPCBF,1,0,0,0,2,0,0,0,1,0,8,4,1,2,7,5,0,4,23,3,2,1,7,3,0,11,0,0,12,4,0,0,3,4,0,0,0,0,0,0,7,5,12,5,1,8,8,0,12,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B10_GD1UH,1,0,0,0,0,0,0,0,0,0,2,2,2,8,1,11,1,0,0,1,8,3,3,2,0,2,0,0,5,1,0,0,0,0,0,1,0,1,1,0,105,65,85,108,41,92,62,0,90,91,105,42,3,0,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIC10_A1N0Z,0,3,0,1,0,0,4,1,0,1,0,4,1,2,2,2,2,0,8,6,10,3,6,4,2,6,1,1,1,6,1,1,3,2,3,12,0,0,2,0,14,4,19,10,1,16,13,0,11,23,15,1,0,6,0,4,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC93C50_FVFMX,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,6,7,1,2,0,1,1,0,2,0,1,0,1,0,3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC100_A0ZB5,19,21,39,0,25,25,13,53,25,15,29,15,14,376,28,8,31,17,27,106,205,3,1,0,4,4,1,0,1,1,1,0,0,0,0,0,1,0,12,7,6,1,7,1,9,7,0,3,3,4,1,0,17,4,1,7,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A01_HFHFW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIA01_EEK35,0,0,0,0,0,0,0,0,0,0,0,4,6,1,4,2,0,4,3,0,9,0,3,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,6,3,0,2,0,3,0,0,8,8,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIA001_IFDSD,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,5,0,0,1,0,1,1,0,3,0,0,2,0,0,0,0,0,1,0,4,0,0,0,1,2,13,8,0,0,12,2,0,4,11,0,0,2,20,7,1,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA01_BYV1A,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIA100_GDS76,0,0,0,0,2,0,0,0,4,0,9,8,17,0,16,2,2,7,12,11,9,10,11,6,1,11,1,1,17,7,3,1,2,0,0,1,0,3,0,1,18,8,24,15,0,24,52,7,15,26,9,18,5,8,8,0,17,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A01_GZUVH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B10_F6Y5C,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,5,5,0,6,1,2,1,0,21,12,1,47,0,1,0,0,6,6,6,19,5,11,114,0,9,23,8,3,3,2,7,0,6,3,4,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SC98A001_CCC1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C100_IGZVE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,0,7,1,0,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIC01_B90BC,0,0,2,1,1,3,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,1,1,3,4,1,1,0,4,2,0,3,1,6,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC98C10_H0I2I,3,2,0,0,0,0,0,4,0,0,0,0,1,8,1,0,0,0,1,0,0,2,4,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,4,3,10,0,11,4,1,5,7,9,5,4,0,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A10_JRZYH,0,0,0,0,0,0,0,0,0,0,0,2,4,1,5,1,0,1,0,6,4,6,6,9,0,7,0,0,2,13,0,1,2,0,0,0,0,2,3,1,19,6,8,19,0,12,34,0,22,29,11,3,1,4,20,3,10,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A100_IGMHU,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,6,1,0,1,0,0,4,1,0,0,2,5,0,0,0,1,0,1,0,0,0,0,3,6,1,7,5,1,1,7,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIA1_IQB6H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,11,0,2,0,0,1,1,0,1,2,1,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A001_B5V6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC100_ARYNB,0,0,0,2,0,2,0,0,0,0,2,0,2,0,6,5,0,0,1,0,5,1,2,2,3,8,0,4,2,2,0,0,7,2,1,3,0,1,0,0,3,7,1,4,0,6,11,0,3,2,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A001_CJ0ZT,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,3,4,7,3,6,1,0,5,2,9,1,0,2,3,2,0,0,4,1,0,2,7,0,2,4,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIB1_I6HF5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,2,1,0,1,0,0,1,1,2,0,1,0,0,1,0,0,0,0,1,2,0,0,3,0,0,1,0,2,1,0,1,5,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C10_H2D8A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,4,0,5,2,0,6,9,20,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIC10_A0WUB,0,1,0,4,1,5,0,0,0,0,2,5,2,3,10,2,0,0,2,3,10,16,17,18,17,18,2,0,17,14,15,0,4,12,1,4,0,2,2,3,14,8,14,11,23,15,12,0,17,7,11,2,5,15,34,11,6,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C1_JRJC9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,1,4,4,7,8,1,9,3,0,6,9,8,0,0,0,3,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIA001_GHH5X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B10_F1CLI,1,2,1,0,6,1,0,4,6,1,12,18,9,5,22,6,5,12,30,14,18,24,28,16,5,21,1,2,24,21,11,6,5,0,4,1,0,2,5,1,24,11,19,42,5,27,98,4,29,17,10,35,3,21,15,4,25,0,13,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIC01_AM5YJ,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIB100_HDKGK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,4,2,0,5,4,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B1_JLRSQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,13,2,16,10,0,8,4,0,6,11,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC93B40_I59LE,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,0,4,0,0,0,0,0,0,0,0,1,0,0,4,11,1,32,1,4,11,7,15,1,8,14,6,20,0,0,11,15,2,5,4,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A001_CGWNA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C10_IIZCC,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,3,0,0,2,0,0,1,1,0,1,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIB10_D5LLD,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,2,1,1,0,0,0,0,1,0,0,0,1,0,3,1,5,3,1,13,1,3,3,1,12,3,2,0,1,2,0,0,4,6,1,2,7,1,4,5,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIB100_F9WJM,1,1,2,0,2,4,0,1,1,0,7,11,4,0,6,8,1,3,9,2,1,39,37,49,60,22,10,138,36,19,30,1,1,5,0,1,1,1,1,0,3,0,4,1,3,0,1,0,7,3,1,0,1,2,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA1_FWD26,1,0,0,0,0,1,0,1,0,0,16,17,30,14,23,8,0,15,25,18,17,11,17,18,1,21,0,0,14,19,2,0,0,0,0,0,0,0,0,0,10,6,1,0,3,7,21,0,9,3,2,0,0,8,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA1_GB11C,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,5,0,0,2,0,4,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A01_HA229,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,159,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIB1_EGRP3,3,2,0,0,1,9,2,4,0,8,0,0,2,0,0,0,3,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC93C50_F7EP7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A01_HA2P8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,2,5,0,0,4,1,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC93C50_FP374,0,0,0,6,0,2,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,2,3,11,0,19,1,1,4,3,25,10,11,11,0,11,1,0,12,8,3,6,3,0,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC10_AXFW3,3,7,2,1,11,10,4,1,6,0,7,4,1,2,1,1,3,4,3,10,1,0,9,7,2,13,10,0,5,5,2,0,4,2,0,2,0,0,0,1,4,0,1,0,23,0,0,0,1,0,8,3,0,2,5,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIB10_EWUO5,34,11,8,7,13,13,53,5,11,10,47,52,25,2,103,73,15,28,81,38,8,116,106,138,227,132,32,222,168,83,119,38,9,10,12,16,15,34,97,33,69,50,85,26,3,47,18,8,94,48,2,3,1,2,2,1,3,2,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC01_JXSOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,1,0,0,1,0,0,1,3,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
