OTUs,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
10,2,1,0,1,1,0,0,8,0,0,1,2,2,0,0,6,2,2,7,0,1,2,0,4,1,0,13,0,0,0,0,0,1,0,4,2,0,0,3,2,26,20,2,0,18,3,0,7,20,0,0,3,29,15,1,7,1,5,1,2,0,4,0,0,2,1,7,0,2,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,11,2,8,11,4,13,13,15,15,6,13,38,15,5,0,1,1,0,1,0,0,0,0,1,0,0,0
12,18,58,33,8,30,7,7,23,5,5,6,4,2,14,9,17,7,5,1,24,13,6,2,19,1,2,1,0,6,22,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,1,3,2,2,3,2,0,0,0,0,3,3,4,3,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0
13,3,7,1,9,5,4,4,4,1,6,6,11,13,6,0,28,5,4,0,4,14,4,1,9,61,1,6,1,6,6,5,1,14,11,1,43,0,2,43,13,12,41,2,1,0,5,3,2,16,2,4,19,24,0,2,7,2,3,9,5,9,24,7,16,8,11,7,14,9,9,8,8,36,41,21,48,24,2,22,4,1,3,5,2,3,4,3,2,4,2
14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,19,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,4,1,0,2,0,6,0,0,2,0,4,1,0,1,3,5,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,23,4,9,15,19,12,12,40,43,17,18,14,5,1,0,0,115,38,4,12,2,0,0,0,0,0,1,0,4,0,4,9,3,1,9,5,3,6,3,13,2,295,1,0,6,0,1,13,7,0,0,0,24,59,1,12,5,1,2,9,1,3,3,3,4,0,10,2,5,3,1,2,1,0,3,0,3,1,2,1,4,10,11,1,2,0,4,3,31,5
16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,2,4,0,3,14,16,0,2,0,2,11,9,3,31,5,1,5,1,0,0,0,0,0,0,0,0,0,0
17,1,0,0,2,0,1,1,1,0,4,2,0,0,0,0,0,1,1,0,0,2,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,3,0,0,2,1,1,2,0,0,2,1,0,0,3,0,0,0,1,4,1,1,0,0,2,0,1,2
18,1,0,0,0,0,4,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,1,0,1,0,10,10,0,1,2,11,4,0,0,6,4,16,1,6,4,2,19,7,0,0,3,6,0,0,1,0,1,0,0,0,0,2,0,1,0,4,1,3,3,7,9,1,1,3,1,29,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,2,2,1,2,2,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,2,0,0,4,11,11,0,3,1,5,1,7,0,11,2,0,2,13,11,6,1,0,1,1,3,0,0,2,0,0,0,3,1,1,0,0,1,0,0,5,4,9,5,11,8,13,1,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,3,0,2,1,3,3,4,2,1,3,9,0,1,0,8,0,28,1,13,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0,0,0,1,0,0,0,1,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,6,2,7,0,2,0,8,5,3,0
25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,1,0,0,1,3,9,20,0,5,31,0,2,0,0,0,0,0,2,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,6,6,8,1,10,10,1,1,5,1,10,1,0,9,9,8,3,3,16,2,1,3,0,0,2,8,0,1,1,0,0,0,0,1,0,1,0,1,3,3,3,0,1,1,1,0,1,0,2,0,1,0,2,0,4,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,2,2,5,7,5,2,5,4,4,1
28,0,1,3,7,2,1,1,3,0,1,4,3,0,0,0,0,0,1,0,11,0,2,0,0,6,0,5,0,0,0,0,5,1,2,5,4,5,1,1,1,1,1,0,0,2,0,1,3,0,0,0,0,5,5,1,1,1,2,4,3,13,15,11,7,5,4,6,20,9,3,5,8,8,7,11,3,19,2,3,14,28,4,1,1,10,12,18,8,6,20
29,4,0,0,0,0,0,0,0,0,0,1,2,10,1,0,0,0,0,0,0,0,0,2,4,2,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,3,0,1,1,0,5,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,10,2,0,0,0,29,65,20,64,4,0,12,5,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,5,5,0,0,0,4,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,2,0,0,9,1,1,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,2,4,0,0,2,2,0,0,0,3,0,2,0,4,1,0,0,0,1,0,3,5,1,4,4,2,0,1,0,0,2,1,1,2,6,0,0,2,0,9,2,5,4,2,2,6,0,2,4,1,6,4,6,1,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,99,61,21,7,89,82,82,73,29,52,116,98,17,201,87,47,126,56,56,141,13,23,4,10,15,19,76,0,43,20,14,3,4,2,8,1,6,3,24,18,11,12,71,9,93,6,4,21,23,12,3,5,29,44,1,49,30,7,13,17,1,2,0,3,3,0,1,0,1,4,2,2,2,2,3,2,5,0,6,0,1,2,9,5,7,2,5,2,6,2
34,1,2,0,0,0,0,0,2,1,0,0,2,0,0,1,1,3,4,1,2,4,0,1,1,0,3,2,0,2,0,2,0,0,0,0,0,0,0,1,1,4,2,3,2,0,0,0,1,0,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,5,0,1,1,0,2,0,0,1,4,3,3,5,1,1,2,5,0,0,0,1,1,5,1,2,3,1,1,3,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,1,0,2,0,0,2,0,0,3,1,1,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,1,0,0,6,1,2,0,2,0,0,0,0,2,2,0,1,1,0,1,0,1,0,1,0,3,0,0,1,0,0
39,9,2,2,3,5,2,2,1,1,13,1,0,2,0,2,2,0,0,0,0,0,0,9,4,0,6,0,0,13,11,4,0,0,6,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5,2,3,6,0,7,5,1,2,6,4,2,5,8,5,0,9,2,1,4,0,0,4,0,3,0,0,1,0,0
40,30,54,26,39,60,31,31,30,23,16,3,8,46,10,13,38,2,8,2,3,4,3,3,14,25,4,8,0,3,6,7,6,10,8,4,15,0,8,21,5,3,0,0,3,17,1,1,16,3,0,0,11,8,1,31,14,13,2,6,1,9,18,6,29,11,13,7,11,13,16,8,7,39,33,21,18,28,22,52,6,25,18,14,8,26,7,26,36,22,4
41,6,1,0,0,3,0,0,4,19,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,1,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11,4,18,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42,10,5,4,55,6,6,6,5,30,2,2,4,71,0,7,1,1,0,2,4,2,6,0,14,24,0,10,0,1,0,4,64,7,41,12,0,78,71,3,20,7,1,5,3,0,0,0,33,0,0,1,0,2,6,1,0,1,0,5,7,61,71,77,93,118,109,157,115,106,204,74,159,186,158,159,214,50,50,118,109,166,277,137,76,55,13,57,167,93,84
43,83,66,19,32,23,26,26,87,21,38,46,12,1,83,15,20,71,12,25,23,150,0,6,44,18,17,1,0,4,48,16,73,85,111,76,85,32,89,34,245,4,0,1,0,2,0,0,51,0,1,1,8,101,60,26,90,181,25,60,52,1,1,0,0,0,1,0,2,1,4,0,5,1,3,0,6,3,3,0,1,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,2,0,2,4,3,0,0,0,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
45,3,3,48,4,7,9,9,9,1,30,30,20,4,2,17,0,1,9,14,11,0,4,1,1,2,0,18,0,3,2,2,0,2,2,4,0,0,2,0,8,1,2,1,55,18,0,9,29,0,0,0,0,13,2,2,10,0,0,126,0,9,41,5,41,9,12,63,4,55,62,38,33,7,7,11,9,50,3,12,13,8,11,1,1,0,3,8,0,10,0
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,0,3,7,0,0,2,0,1,1,0,0,0,1,0,0,0,0,3,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,5
48,4,1,0,5,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,5,13,3,30,3,28,11,7,2,9,11,12,39,30,14,3,36,2,101,26,13,86,11,2,91,0,35,34,3,0
49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,3,0,38,15,4,20,44,2,5,6,72,29,19,4,20,0,3,5,34,0,3,4,3,0,0,0,0,0,0,0,0,0,5,17,8,3,0,6,0,0,5,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,2,0,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,47,60,4,12,10,12,15,29,14,8,10,51,7,4,7,2,15,0,0,0,0,0,1,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,0,0,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,1,0,1,0,0,0
54,1,1,3,5,5,2,2,2,1,7,2,2,1,1,4,29,11,3,2,1,17,18,1,0,3,9,6,0,3,3,3,0,1,3,0,13,0,1,1,0,1,7,1,3,3,0,1,0,2,0,0,0,4,4,0,10,2,0,3,3,2,3,3,3,2,2,0,2,1,4,7,3,5,6,4,1,0,2,0,0,0,1,0,0,1,1,1,2,0,0
55,1,0,4,15,2,7,7,2,3,1,8,5,39,0,7,0,2,0,0,0,0,6,1,8,7,0,14,0,0,0,0,27,19,59,9,7,27,26,1,48,2,2,0,0,1,0,2,6,0,0,0,0,1,0,0,0,1,0,5,2,39,37,60,69,52,123,98,93,78,128,53,82,97,79,101,112,20,53,94,83,37,75,6,9,8,0,12,41,10,4
56,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,6,0,14,1,0,2,1,0,0,0,0,12,0,1,0,3,1,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,0,1,0,0,0,6,2,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,2,2,0,0,0,7,0,0,7,3,1,1,2,3,0,1,3,17,7,0,4,3,0,11,4,6,0,0,1,0,1,0,0,0,0,1,0,2,8,0,0,0,0,2,1,0,1,0,3,23,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,0,2,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,4,0,0,0,1,0,1,1,0,1,0,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,0,0,7,0,0,0,7,0,0,0,0,0,2,0,44,0,0,0,0,1,1,0,0,1,1,0,0,4,0,1,0,0,5,0,12,0,1,0,0,1,3,3,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,1,1,0,0,0,0,0,0,1,19,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,20,22,6,13,18,3,28,26,6,6,2,4,27,48,6,13,9,3,14,7,0,0,0,0,0,0,0,0,0,0
61,1,0,1,2,0,0,0,1,0,8,0,4,0,0,0,4,2,0,0,4,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,1,7,1,1,3,3,0,2,2,0,1,0,13,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,0,5,0,1,0,8,12,12,2,20,4,0,1,1,0,0,0,0,0,0,0,0,0,0
65,0,0,0,5,2,3,3,0,0,0,0,2,5,0,5,0,3,5,0,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,4,0,4,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,6,13,15,10,6,12,14,15,6,1,11,2,7,8,5,4,6,4,7,2,11,16,7,7,20,9,22,39,37,50
66,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,2,0,0,0,0,6,0,1,0,7,0,1,0,3,0,0,1,0,0,1,0,1,0,1,8,0,0,0,0,0,0,0,0,0,1,3,0,0,6,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,2,3,0,3,4,0,0,0,0,1,2,2,2,1,2,5,1,3,10,13,1,7,2,3,0,1,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,0,4,1,0,2,0,0,0,1,0,3,0,0,2,0,2,0,3,0,0,0,6,1,0,1,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,0,1,3,2,0,0,0,1,0,0,4,1,0,1,0,0,0,0,1,1,1,0,0,2,1,0,1,1,1,5,2,1,5,1,0,0,0,0,4,0,0,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,5,1,2,1,1,0,1,1,0,1,0,3,2,0,3,1,6,5,1,0,0,0,0,1,0,0,0,1
