,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
P72IIA1_ES7C6,3,7,1,9,5,4,4,4,1,6,6,11,13,6,0,28,5,4,0,4,14,4,1,9,61,1,6,1,6,6,5,1,14,11,1,43,0,2,43,13,12,41,2,1,0,5,3,2,16,2,4,19,24,0,2,7,2,3,9,5,9,24,7,16,8,11,7,14,9,9,8,8,36,41,21,48,24,2,22,4,1,3,5,2,3,4,3,2,4,2
FIIC100_AS1A5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,19,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,4,1,0,2,0,6,0,0,2,0,4,1,0,1,3,5,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIC01_EA7RS,23,4,9,15,19,12,12,40,43,17,18,14,5,1,0,0,115,38,4,12,2,0,0,0,0,0,1,0,4,0,4,9,3,1,9,5,3,6,3,13,2,295,1,0,6,0,1,13,7,0,0,0,24,59,1,12,5,1,2,9,1,3,3,3,4,0,10,2,5,3,1,2,1,0,3,0,3,1,2,1,4,10,11,1,2,0,4,3,31,5
P72IIB10_EA3X3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,2,4,0,3,14,16,0,2,0,2,11,9,3,31,5,1,5,1,0,0,0,0,0,0,0,0,0,0
SC98A01_G2UQ9,1,0,0,2,0,1,1,1,0,4,2,0,0,0,0,0,1,1,0,0,2,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,3,0,0,2,1,1,2,0,0,2,1,0,0,3,0,0,0,1,4,1,1,0,0,2,0,1,2
FIC100_A3JCC,1,0,0,0,0,4,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SC98A001_B3G8O,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIA001_ITX4N,2,1,0,1,0,10,13,0,1,2,11,4,0,0,6,4,16,1,6,4,2,19,7,0,0,3,6,0,0,1,0,1,0,0,0,0,2,0,1,0,4,1,3,3,7,9,1,1,3,1,29,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SC93A10_EKETX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C1_JBKHV,1,0,2,2,1,2,2,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
