,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
FIIC10_BASPS,5,3,1,0,8,13,2,0,7,1,5,1,7,0,11,2,0,2,13,11,6,1,0,1,1,3,0,2,2,1,0,0,4,1,1,0,0,1,0,0,5,4,8,5,13,8,13,1,3,0,4,6,0,0,0,0,0,0,0,0,0,1,0,16,4,2,8,0,2,0,1,1,0,2,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
P72IIA1_EXWK2,7,6,5,16,7,5,4,7,3,10,3,12,39,1,4,8,1,30,1,18,0,1,0,1,7,0,36,0,0,0,0,1,1,6,1,2,0,4,3,1,3,2,2,0,1,1,1,1,0,1,2,1,13,1,0,3,0,0,1,0,23,24,27,9,10,32,20,95,18,23,13,92,148,121,58,49,45,28,75,21,25,21,14,3,19,4,21,14,5,5
P72IB10_GB10E,1,0,2,0,1,2,4,0,1,5,0,2,2,0,0,1,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,9,1,0,1,0,0,0,0,5,10,4,14,12,9,13,6,5,7,3,5,5,5,7,13,28,0,20,30,2,4,21,2,1,2,4,7,3,1
P72IIB100_F9Y14,0,0,1,8,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,8,0,0,0,1,15,1,1,1,1,3,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,2,1,2,12,3,4,38,24,34,23,19,20,8,40,27,6,11,17,9,14,18,1,31,6,26,24,27,11,2,3,25,8,25,25,9,9
P72IIB10_EDJM3,1,1,3,4,1,6,0,1,1,8,14,11,2,11,9,2,7,5,7,1,0,0,0,1,0,2,6,0,1,0,3,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,1,1,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SC93C01_F6PT5,1,0,2,1,2,0,4,0,7,1,0,1,12,0,2,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,43,3,0,36,0,33,18,0,5,1,0,0,0,0,0,0,16,0,1,0,0,2,1,1,21,10,36,3,3,26,26,6,14,16,11,39,14,27,50,22,4,1,2,3,1,31,6,4,7,12,32,7,15,2,10,12,12,9,21
FIIC100_A2CPY,0,0,0,0,0,0,0,0,0,0,2,0,0,9,1,1,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA001_FZO17,0,0,0,0,2,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIB10_ECNMH,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,5,0,1,0,0,2,0,1,0,5,3,4,8,3,8,2,7,7,1,2,2,3,7,2,8,5,2,5,15,1,3,11,2,1,5,2,1,6,0
FIIIA100_FU0BO,13,13,6,16,11,2,8,22,12,18,14,22,6,6,3,18,13,28,26,7,8,2,11,5,56,6,19,0,6,3,6,7,8,11,2,6,3,7,9,6,4,2,8,2,6,1,0,1,1,5,1,1,11,11,2,14,10,4,14,1,7,8,6,12,3,0,9,3,3,3,2,1,13,8,14,23,6,3,10,1,1,3,6,2,0,1,5,10,2,12
