,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
SC98A10_JFVKB,104,61,29,72,76,115,116,140,71,62,138,122,79,103,194,123,249,71,162,90,222,211,298,202,133,268,251,277,264,255,127,44,166,272,36,250,16,100,118,65,337,149,249,363,260,346,350,29,294,311,340,546,125,89,259,119,202,51,149,246,5,12,6,9,7,14,5,2,10,6,8,10,10,15,13,11,13,7,16,4,1,1,5,2,5,2,0,4,0,2
FIIIA100_F37A4,102,62,48,40,85,100,206,62,62,47,140,202,118,49,272,171,104,110,239,168,73,330,351,379,435,333,111,655,429,295,561,183,107,144,81,100,78,239,484,137,287,148,240,225,63,231,324,51,352,231,159,167,38,41,83,27,111,30,64,275,0,1,0,2,8,1,0,0,0,0,0,0,1,0,0,3,2,0,0,1,0,4,1,0,0,0,0,2,0,0
FIB1_EGRP3,119,107,103,111,130,185,128,169,84,163,329,368,221,655,432,339,134,271,435,362,621,421,428,410,194,475,323,277,437,386,294,43,204,240,46,382,39,87,257,139,570,361,560,602,276,606,487,46,561,623,604,327,234,196,482,246,307,161,306,358,25,32,7,74,31,3,22,13,42,22,13,18,40,69,53,93,10,5,39,20,0,16,3,1,6,0,6,5,0,2
SCIA10_F4SS9,0,1,2,2,2,1,0,2,0,2,1,7,0,1,0,2,4,6,1,2,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,4,0,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,3,0,0
P72IIIC1_DNGH2,6,17,8,44,13,14,22,3,5,9,16,30,37,12,10,57,9,12,2,12,18,9,5,8,80,1,19,1,14,6,38,2,17,8,2,50,3,7,34,14,36,50,13,6,5,10,7,4,24,11,6,25,41,11,13,22,31,9,31,10,20,45,17,36,13,47,32,36,23,29,17,19,91,136,55,120,65,22,107,22,77,105,69,8,142,65,150,120,30,47
SC98A001_CG8LM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,3,1,3,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SC98A100_IAXQL,2,0,0,4,1,0,6,8,0,0,1,2,2,0,0,6,3,2,6,0,1,2,0,2,1,0,13,0,0,0,0,0,1,0,4,2,0,0,3,2,25,19,2,0,18,3,0,7,20,0,0,3,27,14,1,7,1,5,1,1,0,4,0,0,2,1,7,0,2,1,0,0,0,0,0,0,1,4,0,0,3,1,1,0,1,0,1,1,2,0
FIIC1_F0ZF7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIA1_ED6HQ,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,8,2,8,9,4,11,12,14,12,4,10,32,7,3,0,1,1,0,1,0,0,0,0,1,0,0,0
SC93A20_JNO6Q,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,4,0,2,1,1,3,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IA10_DJ8N2,131,101,59,19,147,104,46,98,43,42,99,98,38,189,90,83,109,52,44,149,27,19,4,21,13,14,62,0,42,27,9,4,0,3,2,2,2,1,21,9,17,13,57,7,78,5,2,20,20,7,4,2,21,35,1,44,23,3,22,8,15,33,20,62,19,34,41,35,8,28,25,30,58,67,38,16,48,10,124,37,17,82,11,7,80,3,31,35,12,0
SC98C100_H6JFG,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A100_H9IH3,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,7,0,1,3,1,0,0,1,4,2,0,14,0,0,0,0,0,1,0,0,2,0,2,2,3,0,2,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SC98A01_G91G6,18,71,2,13,15,13,62,31,23,18,17,15,8,0,0,1,152,14,3,16,4,0,0,0,2,0,3,0,6,0,2,12,4,1,18,5,9,15,4,17,2,250,1,1,7,0,0,48,5,0,0,0,20,10,1,29,4,2,14,13,6,7,24,12,7,11,21,12,17,7,3,8,9,2,3,6,7,2,3,5,5,13,10,3,6,0,6,2,61,0
SC98A1_IR476,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,1,4,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B10_FXZ5N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC100_AW1RG,0,0,0,0,0,0,0,3,0,1,1,0,2,0,0,0,0,1,2,0,18,6,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,4,1,0,2,0,4,0,0,2,0,4,1,2,1,7,4,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA001_FVRWZ,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A001_B4RDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B10_GC1F8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A01_HK0TB,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC10_A4JZ7,1,9,4,1,0,2,1,0,0,15,2,0,0,0,13,0,1,0,0,7,3,5,0,4,0,0,9,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A1_H84HK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIA001_GCTR3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,4,2,0,0,0,4,3,0,4,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0
P72IIA01_DKKLW,4,0,0,0,4,5,0,0,1,0,5,1,7,0,1,1,0,2,7,0,0,1,0,1,1,3,0,2,0,0,0,0,4,0,1,0,0,1,0,0,4,1,5,2,9,6,13,1,3,0,4,1,0,0,0,0,0,0,0,0,0,1,0,15,4,0,8,0,2,0,1,1,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC10_A2XP1,4,3,0,2,1,4,3,4,2,1,3,9,0,1,0,8,0,24,1,12,0,0,0,0,0,0,35,0,0,0,0,1,0,1,1,1,0,1,1,0,3,2,2,0,0,1,0,1,0,1,0,1,11,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,4,0,6,3,6,0,2,0,8,5,3,0
FIIB10_CMRXI,34,44,54,62,53,48,34,27,22,72,17,25,42,25,26,105,17,21,9,25,28,34,30,21,37,18,43,0,30,12,21,6,11,16,7,35,5,12,42,22,16,33,11,18,22,5,3,15,11,7,3,14,31,6,53,32,17,5,22,7,7,20,11,30,10,11,1,8,12,18,12,7,29,24,14,20,27,20,49,4,28,11,29,23,29,10,33,39,25,9
P72IIB10_D2VHQ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,3,3,1,0,1,0,0,1,3,7,21,0,5,29,0,1,0,0,1,0,2,3,0,0
SCIC100_JWUK3,1,0,0,1,0,0,0,0,0,1,0,1,0,2,2,3,0,2,2,1,0,12,2,1,3,1,1,2,2,1,0,1,0,0,1,3,0,0,1,0,2,1,0,0,0,3,0,0,0,2,2,1,0,1,1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SC93C01_FVLN5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIC01_EC205,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5,1,0,1,3,3,2,1,0,1,0,1,1,0,2,0,1,0,6,2,0,0,2,2,6,2,1,0
P72IIIB1_IE1Q5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FIB10_EDM2F,1,0,0,0,0,5,0,0,0,0,4,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIB100_G23HQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC01_I6D0Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C1_JRE3G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC100_A2CPY,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIB10_AV8VO,2,0,0,0,0,2,0,0,0,5,2,0,0,0,4,1,0,0,0,1,0,3,4,1,4,4,2,0,1,0,0,2,1,1,2,5,0,0,2,0,9,2,5,2,2,2,6,0,2,4,1,1,4,6,1,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIA100_GBO0L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIC100_JPAG4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IB100_EMR4J,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,4,0,1,0,0,2,0,0,0,2,3,3,3,1,1,2,4,0,0,0,1,1,5,1,2,3,1,0,3,0,0,0,1,0,0,0,0,0,0
FIC100_ASEZV,0,2,3,2,0,0,0,3,2,10,2,6,0,1,1,3,6,18,4,2,4,0,1,1,3,3,11,0,3,0,2,0,0,0,0,1,0,2,1,1,3,1,3,2,0,0,0,1,0,2,1,0,2,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,4,0,0
SC98B1_JJHI4,1,0,0,0,0,0,0,1,0,0,0,1,1,3,0,1,1,2,0,2,0,1,1,2,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,3,1,0,0,0,0,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIB10_D9CO7,1,0,0,1,2,1,0,1,1,1,2,0,0,3,1,1,0,0,2,1,2,1,1,1,0,5,2,2,1,2,4,0,2,1,0,1,2,1,0,1,3,4,1,2,3,5,1,0,6,7,2,4,3,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA100_FXL6U,1,0,0,0,1,0,0,2,0,0,0,0,0,3,0,1,1,0,0,2,1,1,0,0,0,3,2,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,2,1,2,0,1,0,1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIC100_I9SEG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,2,0,3,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C100_IHIIK,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,1,2,2,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIA001_IDX2O,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,1,1,2,3,3,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIB1_EQVH8,2,2,0,0,2,1,1,0,0,6,1,3,3,3,2,4,1,1,4,1,2,13,7,41,2,21,2,0,20,6,6,2,7,1,6,2,4,2,4,6,3,0,4,4,9,0,162,7,1,2,4,4,3,1,0,0,0,1,2,9,1,0,0,0,3,0,0,0,0,1,0,0,1,0,2,1,0,3,1,0,0,0,1,2,0,2,0,0,2,0
FIIB100_FRWV1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC1_FSRFP,3,0,0,2,3,22,7,2,1,7,19,7,1,2,0,4,28,5,11,1,2,21,15,0,0,3,0,0,0,1,0,1,0,0,0,0,2,0,4,0,2,0,5,3,7,9,1,3,3,10,24,0,0,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
