"FIA001" "FIA1" "FIA10" "FIA100" "FIB1" "FIB10" "FIB100" "FIC01" "FIC1" "FIC100" "FIIA001" "FIIA01" "FIIA1" "FIIA100" "FIIB1" "FIIB10" "FIIB100" "FIIC01" "FIIC1" "FIIC10" "FIIC100" "FIIIA001" "FIIIA01" "FIIIA1" "FIIIA100" "FIIIB1" "FIIIB10" "FIIIB100" "FIIIC01" "FIIIC1" "FIIIC10" "SC93A01" "SC93A10" "SC93A20" "SC93B1" "SC93B40" "SC93C01" "SC93C1" "SC93C10" "SC93C50" "SC98A001" "SC98A01" "SC98A1" "SC98A10" "SC98A100" "SC98B1" "SC98B10" "SC98B100" "SC98C01" "SC98C1" "SC98C10" "SC98C100" "SCIA1" "SCIA10" "SCIA100" "SCIB1" "SCIB10" "SCIB100" "SCIC1" "SCIC100" "P72IA001" "P72IA01" "P72IA1" "P72IA10" "P72IA100" "P72IB1" "P72IB10" "P72IB100" "P72IC01" "P72IC1" "P72IC10" "P72IC100" "P72IIA001" "P72IIA01" "P72IIA1" "P72IIB10" "P72IIB100" "P72IIC01" "P72IIC10" "P72IIC100" "P72IIIA01" "P72IIIA1" "P72IIIA10" "P72IIIA100" "P72IIIB1" "P72IIIB100" "P72IIIC01" "P72IIIC1" "P72IIIC10" "P72IIIC100"
"FIA001" 0 0.0346543970922662 0.0291153013486227 0.0473741898817666 0.0266476410420076 0.0266947007004034 0.0297170235968841 0.0197359495097607 0.0518837298846212 0.0490708113814216 0.0425474039051561 0.0311207486074058 0.031428161035044 0.0516540616167965 0.0524604171141931 0.0414718313809087 0.0363722227148564 0.0471844251042112 0.061367938578728 0.0237817357652356 0.0527529513524398 0.0590896585069177 0.0641422142717494 0.0525205102957861 0.0339273288868096 0.0636398586035428 0.0422928265172113 0.0681124518778358 0.0620226736123742 0.0612922580077146 0.0602987936992246 0.0916139104003018 0.0581511311824147 0.0251363310690038 0.102406356569588 0.0292500098449946 0.112026416608173 0.0581713480982741 0.0455244602046447 0.0439686235277 0.0616567735543128 0.0657882836136074 0.0610942409334146 0.0594370200062431 0.042083135312083 0.065634758414417 0.0638834933468263 0.0466652447728327 0.0634631407815065 0.0660818375791909 0.0645882179926585 0.061145036379436 0.0323136398613328 0.0495133541380531 0.0391944828757063 0.0455190797862038 0.0242268503967294 0.0939073304920268 0.02520724846415 0.0281438826626534 0.106383967090529 0.0758708500981364 0.115498369108121 0.0683329592234036 0.101581737250722 0.0900120308617365 0.0658245975859288 0.103826738086101 0.0844975922418718 0.0670372331482776 0.109238663991861 0.0874590329872994 0.0472318702771219 0.0525472211814476 0.0739403564672308 0.064360850427065 0.0881902034118522 0.107108392259463 0.042655740840467 0.0926008267215088 0.0817579416793063 0.0440211575560274 0.0554623147430156 0.10145195594034 0.0728007598341607 0.130029160889318 0.0824876034856937 0.0561573848529785 0.0826255230820512 0.114402907289448
"FIA1" 0.0346543970922662 0 0.0273126321690758 0.0263360328310625 0.0164183621551954 0.0439041603411732 0.0346900467277146 0.0217256303037803 0.0399243255493392 0.0405726787475697 0.0660893672743742 0.0529254988043941 0.0480807781966471 0.0728627125788647 0.0734613528181729 0.0633801008250039 0.0453210525903292 0.043338749986418 0.0842809261148376 0.0381157545000077 0.0733292841216295 0.0773129814482573 0.0825005987285144 0.0711697642473665 0.0509056894223526 0.082780230359823 0.0621176985560875 0.0867691792601687 0.0803365400413849 0.0810089237373846 0.0730956753474965 0.0741199589614955 0.058121198875651 0.0424377648592331 0.0934816141052745 0.0457851784653901 0.0916439910383737 0.0506551843028943 0.0612930987790482 0.0419594777196852 0.0799057244541336 0.0764618074633211 0.0797074734796997 0.0774239768410537 0.0631357026478065 0.0842312347896239 0.0825907582996965 0.031460048001165 0.0827067953658999 0.0839210259692578 0.0833242021512469 0.0798351417599113 0.0331963751905522 0.0360854447574244 0.0419680537655668 0.0280286567016472 0.0414086723401661 0.0801053343230171 0.0449733800117898 0.046019035898106 0.0903475021717523 0.0621053407761457 0.0988482217804134 0.0538110485438963 0.0909732950267821 0.0766105867700218 0.05528620726023 0.0894017351105378 0.0682288118232372 0.0573672366520866 0.0981916751329478 0.0781001614775042 0.0541658283924758 0.0604664198442137 0.060902657070138 0.079292772383917 0.074784492038963 0.104279084084709 0.0388770011537621 0.0826589542960482 0.0678313581939034 0.0541293666770966 0.0481796425727755 0.0896469635573771 0.0637680595656432 0.117346245093358 0.067952135131902 0.0483694155408122 0.0599360438730803 0.0970033227484688
"FIA10" 0.0291153013486227 0.0273126321690758 0 0.0444410794894413 0.0302644333696775 0.0300617297166042 0.0286973991206821 0.0291793686712917 0.0551216495679386 0.051280686133526 0.057859334774798 0.0434170785659467 0.0441382079839422 0.0655939421739006 0.0626065563349506 0.0537008362092328 0.0392008197563151 0.0576331577732659 0.0728573903982424 0.0295393710188418 0.065740385096095 0.0656164904192533 0.0701088492506583 0.0620272685176896 0.043299376974179 0.0695831930205988 0.0527183109489836 0.0736893374726668 0.0685036089389261 0.0704650567598228 0.0607666842886831 0.0911797511609976 0.0735070805085962 0.0424815794461341 0.108452205462878 0.0418621816923563 0.106011342847967 0.0711949249996547 0.0529216842667277 0.053967631915194 0.0682487415234539 0.0668168153388451 0.0686360681325179 0.0666886680810866 0.0487923956458151 0.0716213766614396 0.0696748158002401 0.0384335690380385 0.070740662308385 0.0714354756262466 0.0703672591320989 0.0674429279673919 0.0469800062116057 0.0515261964283593 0.0520004337105946 0.047338373401468 0.0394906302576769 0.0968875592773474 0.040311708923623 0.0409590886888647 0.107620568324211 0.0767463704530025 0.116110785772464 0.0713996466473677 0.107538677123358 0.0928589874651735 0.0678217289608398 0.106641400726359 0.0857877505644652 0.0674370442794214 0.114903240456765 0.094896557764712 0.0526539671519171 0.0595123254472987 0.0774980699745924 0.0720402150251844 0.0909901255142257 0.115311224943146 0.0474724565838677 0.0988180779094547 0.0841327402882353 0.0474967432950057 0.0550295692322058 0.105224007633877 0.0799009204065508 0.132446609335171 0.0819396005968235 0.0594204600661691 0.0777823159943218 0.113201211422642
"FIA100" 0.0473741898817666 0.0263360328310625 0.0444410794894413 0 0.0310580490331071 0.0569006037151888 0.044526764193773 0.0376121661516497 0.0383453850228562 0.0402364543526254 0.075236265528597 0.0619346204751549 0.0512492466441426 0.0849283259746213 0.0829455309966755 0.0726499582593009 0.0519379647595015 0.0408528540796805 0.0940612665716815 0.0475998011257338 0.0872422131942072 0.0907594701753295 0.0960782799444407 0.0841010995616703 0.0630044993678807 0.0957709241501345 0.0693970994511056 0.100723972570824 0.0946651103124371 0.0959198749465674 0.0859267916133238 0.0694813892534643 0.0543691600911348 0.0514556669865225 0.0903684070122537 0.0581546242278334 0.0853374472017508 0.0446408366118246 0.0739229903449856 0.039670173100392 0.0931393093313836 0.0842626920923403 0.0935902801931513 0.0916290748628448 0.0743700217056531 0.0980060491235318 0.0961681086103439 0.0316968348202969 0.0961797160971396 0.0979140968636792 0.0963274881350951 0.0927361479483466 0.0393187155909545 0.028315106202144 0.0486408367733925 0.0240678334420933 0.0545896019270024 0.0754080644379154 0.0560838961009149 0.0562387778801183 0.078106405187411 0.0494319743397428 0.0850007288984497 0.0436196436158245 0.0795861726650228 0.0658327757251668 0.0464958791618795 0.0799065236080073 0.0566348463760822 0.0498809418015868 0.0878219154270617 0.0671839752176439 0.0555545780485793 0.0648104893428251 0.0523279364202524 0.0814128920857779 0.0644292813212289 0.0953700832948659 0.0402924822716874 0.0712560868397668 0.0578560246583795 0.0575463221791989 0.047147949806346 0.0800310136990982 0.0535643262507848 0.109719347608273 0.0603816321888326 0.0400526404509171 0.0470851762329462 0.0829945342983033
"FIB1" 0.0266476410420076 0.0164183621551954 0.0302644333696775 0.0310580490331071 0 0.0409424672329604 0.040775883283837 0.0197610632953321 0.0401441612930936 0.0344385367854367 0.0583389664962396 0.045085008448076 0.042068858900097 0.0668497463140666 0.0674747376556485 0.0562345816417386 0.0502038352316146 0.0368546096777216 0.0779734175418172 0.0343927079075363 0.0695864581689962 0.0722332362762721 0.0774516288157327 0.0654977086209809 0.0464035857818342 0.0772752831456663 0.0555437203379772 0.081283317889301 0.0749401500848894 0.0773164293781169 0.0738757881454253 0.0799221835404007 0.0506431820197155 0.0354844930102814 0.0922472316540565 0.0419017911963768 0.0980393442933134 0.0476861901266944 0.0573945669161981 0.0409178211510747 0.0742708218028892 0.0802455630353851 0.0741976723964287 0.0715368603946138 0.055964144980088 0.0789192578542603 0.0769034176532416 0.0384002203237749 0.0773638179113585 0.0787672716981093 0.0779810080659574 0.0743992081195478 0.0270073569643918 0.0390813463788686 0.0325825721413493 0.0357183310784776 0.0383462848833313 0.0795970914938529 0.037690177428384 0.0397526590180186 0.0929897237239169 0.0642277472808178 0.102393455711717 0.0547220036057244 0.0879147446772244 0.0757310763579366 0.0544488049828196 0.0909865620799804 0.0709023941774276 0.0552101006175929 0.0949820538166483 0.0739101539990224 0.057509957037653 0.0624567712193218 0.0613924730875161 0.0772655422198429 0.0738766012633218 0.0949672812055808 0.0368182941567663 0.0790727378906367 0.0677393128665721 0.0502615091690369 0.044427445500541 0.0863356754360089 0.0587735329383612 0.112431441593552 0.0684395037410212 0.0446355340572687 0.0653042700788482 0.0994698184481142
"FIB10" 0.0266947007004034 0.0439041603411732 0.0300617297166042 0.0569006037151888 0.0409424672329604 0 0.0291884497774289 0.0321981581752576 0.0654173027387821 0.0591618576181065 0.0327539551601006 0.0241552033471647 0.0378966248180294 0.042750218613774 0.0395703221302594 0.0307115000631059 0.0235074842221882 0.0602570893933719 0.0502170388900018 0.0262374103630701 0.0437953248208946 0.0458310302362808 0.0505120704781994 0.0398480933505612 0.0211789486992176 0.0497090333925429 0.0294532185126386 0.0542295227383089 0.0488602955158205 0.0496805177068844 0.0427473106883194 0.10236971958897 0.075603214169863 0.0411083199646852 0.116345062146364 0.0328593059721781 0.120449089319121 0.07549866420968 0.0299568100143708 0.0604157706550305 0.0483688270681479 0.0492734186021254 0.0473012633450556 0.0455431675207348 0.0270634341782855 0.0522429556571818 0.0502480477718538 0.0530660272986323 0.0497695179326051 0.05235158854963 0.0508979458839645 0.0480711541159705 0.0501594927231545 0.0588263292931516 0.0532866715755268 0.0542874317207583 0.0373767271790318 0.106975469301781 0.0340507120780763 0.0300717066459138 0.119097725816546 0.0883278320358887 0.128118867289858 0.081529339254737 0.115664757429418 0.101900087151931 0.077645132378745 0.117044770619806 0.0965381087048121 0.0749301202235264 0.122346431908258 0.102893041860945 0.0556788077463193 0.056915096315443 0.0876595919622453 0.0600176383348375 0.0995443129668568 0.12246951632493 0.0549541834600695 0.107350244226411 0.0936238913978682 0.0389868063124333 0.0644459173183561 0.114469029058819 0.0886812704845643 0.1440442169251 0.0928189809794564 0.0686164309291696 0.0931725185367457 0.126559738624276
"FIB100" 0.0297170235968841 0.0346900467277146 0.0286973991206821 0.044526764193773 0.040775883283837 0.0291884497774289 0 0.0291786906607179 0.0604618049538149 0.0579965882642251 0.0495910337765777 0.036189960528721 0.0438615654624055 0.0587394833634756 0.0556633041719387 0.0471659970019704 0.0238614001717435 0.0605559601987629 0.0653840841231441 0.0242693602381138 0.0577854393631483 0.0577700987974117 0.0628005634036348 0.0538222585972052 0.0334656935121273 0.0629405154116294 0.0461404475882891 0.0665713383156404 0.0614457550626943 0.0620613775564757 0.0541964213157554 0.0944227978175262 0.0741684302942697 0.0393241075179177 0.113980326111109 0.0321236380531086 0.111906064831022 0.0713437084854885 0.0442594252378557 0.0576039670688006 0.0605541874509178 0.0483171239540573 0.0611304249599812 0.0593422040559284 0.0472820203727674 0.0640425890553402 0.0624641319349304 0.0486202267282365 0.0634595753236508 0.0639811814831764 0.064026792349795 0.0606448489057083 0.0485906052300089 0.0437865539358496 0.0521665730628994 0.0403341389659376 0.0352713480756629 0.103715600020298 0.0383330555612108 0.0299103457096674 0.112506207432929 0.0789412735151128 0.1183708941937 0.0768506491624762 0.114341774936864 0.0998949474297871 0.0721042401736339 0.112984203292247 0.0882508177595055 0.0750615158678955 0.122062121181256 0.101491282951792 0.0489116845201669 0.0573514597434168 0.083781138521077 0.0641535171169822 0.098208981008441 0.123777040852518 0.0532318949975622 0.106103532362787 0.0918650677904014 0.0508072445523744 0.0645446884827976 0.112703658962469 0.0873422652454398 0.144212882826484 0.0889983424179785 0.0664948425503074 0.0758599214494342 0.115543962716324
"FIC01" 0.0197359495097607 0.0217256303037803 0.0291793686712917 0.0376121661516497 0.0197610632953321 0.0321981581752576 0.0291786906607179 0 0.0444903130263503 0.0384970956008219 0.0507493232276776 0.0377267854842433 0.0388196823730834 0.0579472636845112 0.0578340323889306 0.0491494896310592 0.0392798829725874 0.0395747137797265 0.0683789302611867 0.0248340164757328 0.0554863224389266 0.0623185687017176 0.0674099612428653 0.0569965064970974 0.0356901557186861 0.0670507129029079 0.0474288833948988 0.0712497445533112 0.065488202469576 0.0646018790416136 0.0624283550098123 0.0785830399866997 0.0522380759625146 0.0260411010374976 0.0950617343366406 0.0311402431853803 0.0990182378735339 0.0510656308591355 0.0476678217454147 0.0409140219037303 0.0644470637985633 0.0682272957635066 0.0641212880536378 0.0623078725835804 0.0479750081064729 0.0689607026874732 0.0670658955708136 0.0347420172375803 0.0670411766448085 0.0688468243553889 0.0678843829430892 0.0643067100106458 0.0256363918180798 0.0377257766190479 0.0334340790117523 0.0311841535733978 0.0261893982306151 0.0873976066102378 0.029222406459502 0.0327530954026421 0.0987716417027028 0.0694814949788341 0.108297072750988 0.0610319799399573 0.0945125516220785 0.0814937741232505 0.0594762983478576 0.0966512757793621 0.0768182522217706 0.0589922403232081 0.1019654577616 0.0806659157495712 0.0531709039440534 0.0588719254960431 0.0670516989674438 0.0746770557256735 0.0791588897264575 0.102688938712235 0.0373094505288973 0.0855613979962825 0.0734813347194601 0.0469891032202735 0.0491370829073994 0.0927919474733565 0.0670005540565203 0.123491794727842 0.0695762999683189 0.0493610511078083 0.0723894582668747 0.106024677753188
"FIC1" 0.0518837298846212 0.0399243255493392 0.0551216495679386 0.0383453850228562 0.0401441612930936 0.0654173027387821 0.0604618049538149 0.0444903130263503 0 0.0241985803022478 0.0835320505791226 0.0714016684894842 0.0598310140030372 0.0903804759745589 0.0919096006841126 0.0831384637786693 0.0694512729645867 0.0489397075343658 0.10104114314341 0.0589560538630837 0.0926907709827302 0.0973375327807392 0.102399364981772 0.0907808266290412 0.0716694232808316 0.102359109192266 0.0811047122233545 0.106340870325865 0.100126318510592 0.100452298851861 0.0939893272329207 0.0516693776707071 0.031406024802375 0.0576660630718161 0.0672855814743577 0.0669115543775119 0.0683035960932094 0.0247958935565173 0.0817324802685556 0.0370743808334249 0.0995638966366193 0.0995441084655066 0.0995674829632372 0.0975434843675064 0.0821166493533003 0.103869378870756 0.101987092245116 0.0378583589900213 0.102462659247334 0.103974304380287 0.103522722298606 0.0999710567375673 0.0510156316867674 0.0335100760246101 0.0583891434814759 0.0400738924145877 0.0622363553351709 0.0582624198901175 0.0641576822143971 0.0663813475167612 0.0661737543480441 0.0378623785328173 0.075560344346318 0.0338510009012311 0.0651440806363507 0.0520176472780948 0.0346108878910081 0.0643556831731606 0.0438939801609196 0.0285843081834015 0.0727839510790059 0.0525965291331356 0.07549704551814 0.0822821085128689 0.0516966429107894 0.0949136726882309 0.0519341741162565 0.0752388401419248 0.0576949663493508 0.057025995681442 0.0431180258848375 0.0665972606914549 0.0526868390723309 0.0652548123794219 0.0451919687245285 0.0975847017405018 0.0475594378588721 0.0388944745260011 0.0427384730707381 0.0722209414707238
"FIC100" 0.0490708113814216 0.0405726787475697 0.051280686133526 0.0402364543526254 0.0344385367854367 0.0591618576181065 0.0579965882642251 0.0384970956008219 0.0241985803022478 0 0.0773317407091095 0.0629979852290087 0.0622418369146376 0.0856728802879895 0.0831319459368059 0.0754218144028938 0.0661496669933146 0.0407114016268095 0.0945126163786188 0.0517895361446835 0.0855379258874993 0.0879521567758351 0.0929020211069227 0.081982656979376 0.0635668126217867 0.0930048380512435 0.0720485927291933 0.0972987545024623 0.090775316136943 0.0925494090334486 0.0894973977206572 0.0582342698815762 0.0372893696714452 0.0574098829890119 0.0779289947142049 0.0606686662585145 0.0762964790937359 0.0331329334523718 0.0753309688519423 0.0425463762047236 0.090715199945916 0.0963418206541701 0.0910670325797576 0.0884635143542022 0.0743757175312777 0.0949516146922398 0.093126078486709 0.0373828095228398 0.0935964752598821 0.0947094397635797 0.0935769937582571 0.0906519279936628 0.0450085650623946 0.0337915022015008 0.0526336327548116 0.0393160180328799 0.0576761856437233 0.0653252398754166 0.0591557505426081 0.0606519247605423 0.076994760750792 0.0513269247441416 0.0865971545431388 0.0395788902424418 0.0717892646585162 0.0583922344856719 0.0431843727704432 0.0755943198251193 0.0580060765061505 0.0401441083306927 0.0792885303223582 0.0579616954872621 0.0797177956315649 0.0850478535947469 0.0558164938915023 0.0994656822735425 0.056948700305868 0.0832150280220153 0.0558984764678508 0.0622672389132204 0.0524789448436868 0.0658032156711048 0.0590752180147573 0.0678671049386341 0.0443678785730122 0.0981695735337057 0.0470824517707197 0.0402812940833266 0.0511102132452202 0.0830778240658933
