,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
FIIIA01_EO3D4,1,0,2,2,0,8,2,6,1,1,4,3,0,0,2,8,1,1,5,2,7,41,35,20,1,36,3,0,35,16,1,0,0,1,0,2,0,2,2,2,2,1,3,8,5,12,3,0,1,4,0,0,2,9,0,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA01_CL4ZS,17,15,5,19,11,19,80,12,11,17,23,67,31,12,78,54,20,36,53,31,14,188,198,195,183,150,70,514,165,155,439,124,84,115,65,63,59,198,324,75,104,53,65,63,24,61,53,23,149,76,58,68,11,7,19,12,44,14,19,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
SC98A10_JFVKB,0,1,0,2,3,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,5,0,3,0,8,4,3,0,1,1,2,0,2,1,0,2,0,2,2,3,9,9,5,20,1,6,113,0,7,12,66,43,14,2,33,5,24,12,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC10_APOKX,5,4,0,5,4,3,4,5,2,0,11,11,5,4,25,7,0,6,15,6,25,27,28,14,5,19,3,1,22,24,13,3,16,19,1,24,0,4,2,3,33,17,7,40,15,27,14,1,14,24,17,5,28,21,58,16,32,9,21,30,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98B1_JCOG1,8,3,2,9,5,3,10,5,0,9,4,7,8,22,3,8,5,1,5,2,18,23,23,9,6,19,3,0,11,15,3,3,10,26,2,19,2,10,6,5,18,7,12,28,1,22,7,3,11,24,14,10,5,4,23,4,6,8,9,36,16,10,1,38,19,0,1,1,21,11,3,6,4,10,10,30,0,1,0,6,0,1,0,0,0,0,0,0,0,0
SCIA1_H16QK,0,0,0,0,0,0,0,0,0,0,10,1,0,0,6,2,0,0,1,1,5,1,5,0,0,0,0,0,3,2,0,0,0,3,0,2,0,1,2,0,41,59,43,43,9,57,26,0,53,57,55,30,2,0,1,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IB10_GGTME,0,0,0,4,0,1,1,0,0,0,0,0,4,2,3,0,0,0,1,0,4,29,27,15,4,35,1,0,39,15,3,0,0,3,0,6,1,4,0,0,16,8,20,19,5,13,3,2,6,20,14,17,0,0,3,0,0,0,0,5,2,0,2,5,1,0,2,0,7,4,1,2,13,6,13,27,0,0,2,1,0,1,0,0,0,0,0,0,0,0
FIIA01_B1YDN,0,0,2,0,1,0,0,2,0,1,1,6,0,1,0,2,1,4,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C01_EL5DO,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,4,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,17,6,14,3,29,2,0,20,25,18,6,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIB100_F9C4U,0,0,0,0,0,2,1,0,1,0,2,2,0,0,0,0,0,1,0,0,1,1,3,1,0,1,0,8,5,0,1,0,1,0,0,5,0,0,0,0,2,3,2,2,4,1,0,0,2,5,0,0,0,3,1,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98C10_IB337,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,1,8,7,3,39,0,35,5,0,16,16,48,30,0,8,9,4,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA1_F2QDW,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,7,0,1,5,2,3,2,7,1,1,1,0,1,1,4,1,0,3,7,0,3,0,0,1,0,1,3,2,2,1,0,0,0,2,4,0,2,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC93C1_ED38C,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,5,2,2,0,0,5,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,2,2,1,9,5,5,0,0,2,0,0,1,0,1,3,1,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
