sample,treatment,distance_class,transect,systems,Distance..m.,x_incr,y_incr,Name,Date_of_sample,Easting,Northing,Elevation,pt_type,x,y
P72IIIA10,P72III,3,A,Pasture,10010,10010,0,NA,NA,524642.5502,-1127785.987,NA,NA,534652.5502,-1127785.987
P72IIIA100,P72III,3,A,Pasture,10100,10100,0,NA,NA,524642.5502,-1127785.987,NA,NA,534742.5502,-1127785.987
P72IIIB1,P72III,3,B,Pasture,10001,0,10001,NA,NA,524642.5502,-1127785.987,NA,NA,524642.5502,-1117784.987
P72IIIB100,P72III,3,B,Pasture,10100,0,10100,NA,NA,524642.5502,-1127785.987,NA,NA,524642.5502,-1117685.987
P72IIIC01,P72III,3,C,Pasture,10000.01,10000.01,10000.01,NA,NA,524642.5502,-1127785.987,NA,NA,534642.5602,-1117785.977
P72IIIC1,P72III,3,C,Pasture,10001,10001,10001,NA,NA,524642.5502,-1127785.987,NA,NA,534643.5502,-1117784.987
P72IIIC10,P72III,3,C,Pasture,10010,10010,10010,NA,NA,524642.5502,-1127785.987,NA,NA,534652.5502,-1117775.987
P72IIIC100,P72III,3,C,Pasture,10100,10100,10100,NA,NA,524642.5502,-1127785.987,NA,NA,534742.5502,-1117685.987
SC93A001,SC93,1,A,Secondary Forest,0.001,0.001,0,ISC93A001V2,3/18/2010 15:02,523257.4897,-1132902.478,153.2146,origin,523257.4907,-1132902.478
SC93A01,SC93,1,A,Secondary Forest,0.01,0.01,0,NA,NA,523257.4897,-1132902.478,NA,NA,523257.4997,-1132902.478
SC93A10,SC93,1,A,Secondary Forest,10,10,0,NA,NA,523257.4897,-1132902.478,NA,NA,523267.4897,-1132902.478
SC93A20,SC93,1,A,Secondary Forest,20,20,0,NA,NA,523257.4897,-1132902.478,NA,NA,523277.4897,-1132902.478
SC93B1,SC93,1,B,Secondary Forest,1,0,1,NA,NA,523257.4897,-1132902.478,NA,NA,523257.4897,-1132901.478
SC93B40,SC93,1,B,Secondary Forest,40,0,40,NA,NA,523257.4897,-1132902.478,NA,NA,523257.4897,-1132862.478
SC93C01,SC93,1,C,Secondary Forest,0.01,0.01,0.01,NA,NA,523257.4897,-1132902.478,NA,NA,523257.4997,-1132902.468
SC93C1,SC93,1,C,Secondary Forest,1,1,1,NA,NA,523257.4897,-1132902.478,NA,NA,523258.4897,-1132901.478
SC93C10,SC93,1,C,Secondary Forest,10,10,10,NA,NA,523257.4897,-1132902.478,NA,NA,523267.4897,-1132892.478
SC93C50,SC93,1,C,Secondary Forest,50,50,50,NA,NA,523257.4897,-1132902.478,NA,NA,523307.4897,-1132852.478
SC98A001,SC98,2,A,Secondary Forest,3111.689,3111.689,0,ISC98A001V2,3/18/2010 10:53,524095.3298,-1129905.709,170.758545,origin,527207.0188,-1129905.709
SC98A01,SC98,2,A,Secondary Forest,3111.698,3111.698,0,NA,NA,524095.3298,-1129905.709,NA,NA,527207.0278,-1129905.709
SC98A1,SC98,2,A,Secondary Forest,3112.688,3112.688,0,NA,NA,524095.3298,-1129905.709,NA,NA,527208.0178,-1129905.709
SC98A10,SC98,2,A,Secondary Forest,3121.688,3121.688,0,NA,NA,524095.3298,-1129905.709,NA,NA,527217.0178,-1129905.709
SC98A100,SC98,2,A,Secondary Forest,3211.688,3211.688,0,NA,NA,524095.3298,-1129905.709,NA,NA,527307.0178,-1129905.709
SC98B1,SC98,2,B,Secondary Forest,3112.688,0,3112.688,NA,NA,524095.3298,-1129905.709,NA,NA,524095.3298,-1126793.021
SC98B10,SC98,2,B,Secondary Forest,3121.688,0,3121.688,NA,NA,524095.3298,-1129905.709,NA,NA,524095.3298,-1126784.021
SC98B100,SC98,2,B,Secondary Forest,3211.688,0,3211.688,NA,NA,524095.3298,-1129905.709,NA,NA,524095.3298,-1126694.021
SC98C01,SC98,2,C,Secondary Forest,3111.698,3111.698,3111.698,NA,NA,524095.3298,-1129905.709,NA,NA,527207.0278,-1126794.011
SC98C1,SC98,2,C,Secondary Forest,3112.688,3112.688,3112.688,NA,NA,524095.3298,-1129905.709,NA,NA,527208.0178,-1126793.021
SC98C10,SC98,2,C,Secondary Forest,3121.688,3121.688,3121.688,NA,NA,524095.3298,-1129905.709,NA,NA,527217.0178,-1126784.021
SC98C100,SC98,2,C,Secondary Forest,3211.688,3211.688,3211.688,NA,NA,524095.3298,-1129905.709,NA,NA,527307.0178,-1126694.021
SCIA001,SCI,3,A,Secondary Forest,9791.317,9791.317,0,SCA001,3/15/2010 7:42,522132.8559,-1123175.963,144.803223,origin,531924.1729,-1123175.963
SCIA1,SCI,3,A,Secondary Forest,9732.317,9732.317,0,NA,NA,522132.8559,-1123175.963,NA,NA,531865.1729,-1123175.963
SCIA10,SCI,3,A,Secondary Forest,9741.317,9741.317,0,NA,NA,522132.8559,-1123175.963,NA,NA,531874.1729,-1123175.963
SCIA100,SCI,3,A,Secondary Forest,9831.317,9831.317,0,NA,NA,522132.8559,-1123175.963,NA,NA,531964.1729,-1123175.963
SCIB1,SCI,3,B,Secondary Forest,9732.317,0,9732.317,NA,NA,522132.8559,-1123175.963,NA,NA,522132.8559,-1113443.646
SCIB10,SCI,3,B,Secondary Forest,9741.317,0,9741.317,NA,NA,522132.8559,-1123175.963,NA,NA,522132.8559,-1113434.646
SCIB100,SCI,3,B,Secondary Forest,9831.317,0,9831.317,NA,NA,522132.8559,-1123175.963,NA,NA,522132.8559,-1113344.646
SCIC1,SCI,3,C,Secondary Forest,9732.317,9732.317,9732.317,NA,NA,522132.8559,-1123175.963,NA,NA,531865.1729,-1113443.646
SCIC100,SCI,3,C,Secondary Forest,9831.317,9831.317,9831.317,NA,NA,522132.8559,-1123175.963,NA,NA,531964.1729,-1113344.646
