"sample","treatment","distance_class","transect","systems","Distance..m.","Name","Date_of_sample","Easting","Northing","Elevation","pt_type"
"SC98A001","SC98",2,"A","Secondary Forest",3111.689,"ISC98A001V2","18-MAR-10 10:53:13",524095.329789359,-1129905.70898779,170.758545,"origin"
"SC98A01","SC98",2,"A","Secondary Forest",3111.698,NA,NA,NA,NA,NA,NA
"SC98A1","SC98",2,"A","Secondary Forest",3112.688,NA,NA,NA,NA,NA,NA
"SC98A10","SC98",2,"A","Secondary Forest",3121.688,NA,NA,NA,NA,NA,NA
"SC98A100","SC98",2,"A","Secondary Forest",3211.688,NA,NA,NA,NA,NA,NA
"SC98B1","SC98",2,"B","Secondary Forest",3112.688,NA,NA,NA,NA,NA,NA
"SC98B10","SC98",2,"B","Secondary Forest",3121.688,NA,NA,NA,NA,NA,NA
"SC98B100","SC98",2,"B","Secondary Forest",3211.688,NA,NA,NA,NA,NA,NA
"SC98C01","SC98",2,"C","Secondary Forest",3111.698,NA,NA,NA,NA,NA,NA
"SC98C1","SC98",2,"C","Secondary Forest",3112.688,NA,NA,NA,NA,NA,NA
"SC98C10","SC98",2,"C","Secondary Forest",3121.688,NA,NA,NA,NA,NA,NA
"SC98C100","SC98",2,"C","Secondary Forest",3211.688,NA,NA,NA,NA,NA,NA
"SCIA1","SCI",3,"A","Secondary Forest",9732.317,NA,NA,NA,NA,NA,NA
"SCIA10","SCI",3,"A","Secondary Forest",9741.317,NA,NA,NA,NA,NA,NA
"SCIA100","SCI",3,"A","Secondary Forest",9831.317,NA,NA,NA,NA,NA,NA
"SCIB1","SCI",3,"B","Secondary Forest",9732.317,NA,NA,NA,NA,NA,NA
"SCIB10","SCI",3,"B","Secondary Forest",9741.317,NA,NA,NA,NA,NA,NA
"SCIB100","SCI",3,"B","Secondary Forest",9831.317,NA,NA,NA,NA,NA,NA
"SCIC1","SCI",3,"C","Secondary Forest",9732.317,NA,NA,NA,NA,NA,NA
"SCIC100","SCI",3,"C","Secondary Forest",9831.317,NA,NA,NA,NA,NA,NA
"SCIA001","SCI",3,"A","Secondary Forest",9791.317,"SCA001","15-MAR-10 7:42:16",522132.855938979,-1123175.96320965,144.803223,"origin"
"SC93A001","SC93",1,"A","Secondary Forest",0.001,"ISC93A001V2","18-MAR-10 15:02:23",523257.489707299,-1132902.47795579,153.2146,"origin"
"P72IIIA001","P72III",1,"A","Pasture",0.001,"IIIP72A001","15-MAR-10 7:32:53",524642.550238515,-1127785.98690835,146.245239,"origin"
